,(K’ billion),
Total Tax Revenues,,"9,133.6"
"Income Tax
Company Income Tax
PAYE
Withholding & other
Mineral Royalty","4,153.4
1,352.0
2,352.3
377.1
72.0",
"Value Added Tax
Domestic VAT
Import VAT","2,641.0
358.0
2,283.0",
"Customs and Excise
Customs duty
Excise duty
o/w Fuel Levy","2,339.2
945.2
1,394.0
245.3",
"Non-Tax Revenues
Fees & Fines
Exceptional
Medical Levy
Dividends","567.7
105.2
9.0
12.9",694.9
Domestic Borrowing,,618.7
"Total Domestic Revenue
and Financing",,"10,447.2"
"Total Foreign Grants and
Loans",,"3,314.2"
"Grants
General Budget Support
Project Grants","2,278.9
733.3
1,545.6",
"Foreign Financing
Programme Loans
Project Loans","1,035.3
203.3
832.0",
"TOTAL REVENUE
AND FINANCING",,"13,761.4"
