,( K’billion ),
Tax Revenues,,"15,230.1"
"Direct Taxes
Company Income Tax
Other Income Taxes
Pay As You Earn
Mining tax
o/w Mineral Royalty Tax
Mining Tax Arrears","7,800.8
1,337.1
894.7
3,710.6
1,858.4
404.7
554.8",
"Value Added Tax
Domestic
Import","3,998.8
828.5
3,170.3",
"Customs and Excise Duty
Customs Duty
Excise Duty
o/w Fuel Levy","3,430.5
1,674.5
1,756.0
313.8",
Non-Tax Revenue,,539.0
Total Domestic Revenues,,"15,769.1"
Domestic Financing,,"1,219.8"
"Total Domestic Revenues
and Financing",,"16,988.9"
"Total Foreign Grants and
Loans",,"3,548.5"
"Grants
Direct Budget Support
Project Support
o/w SWAPS","1587.7
586.6
1,001.1
220.5",
"Foreign Financing
Project Financing
Budget Financing","1,960.8
1,762.0
198.8",
"Total Revenue and
Financing",,"20,537.4"
