Year,General Public Services,Domestic Debt,External Debt (Interest and Principal),Dismantling of Arrears,Zambia Revenue Authority,Mobile Voter Registration & Elections,Legislation,MPs Gratuity,General Elections and Voter Registration,Centralised Administrative services,Local Government Equalization Fund,Public Affairs and Summit Meetings,Contingency,Compensation Fund,Sinking Fund,Defence,Public Order and Safety, Integrated National Registration Information System (INRIS),Economic Affairs,Sovereign Wealth Fund,"O/w Agriculture, Fisheries & Livestock Interventions",Fuel and Energy,Farmer Input Support,Strategic Food Reserve,"Farm block Development, Irrigation & Extension Services",Rehabilitation of Nitrogen Chemicals of Zambia,Communication,Animal Disease Control,Airport Infrastructure,Mining,Energy Power Infrastructure,Railway Rehabilitation,"Construction of silos, Dip tanks and Dredgers",Road Infrastructure,Rural Roads,Constituency Development Fund,Community Projects,Rural Electrification Programme,Youth & Women Empowerment Funds,Feeder Roads Maintenance (Fuel),Tourism Sub-Sector,Provincial Aerodromes Infrastructure,Credit Guarantee Scheme,Empowerment Funds for SMEs,Border Infrastructure,Aerial Geological & Geophysical Mapping,Environmental Protection,Public Sector Credit Facility,Housing and Community Amenities,Water Supply & Sanitation Infrastructure,Construction and rehabilitation of dams,Millenium challenge account,Health,Drugs and Medical Supplies,COVID-19 Vaccines,Operations for Hospitals,Medical Equipment,Health Infrastructure,Construction of Mini Hospitals,Electronic Health Records System,"Recreation, Culture and Religion",Education,Operations for Schools,School Grants,School & University Infrastructure,Skills Development Fund,Secondary Schools & Skills Development Bursaries,Equipping of TEVET Institutions,Higher Education Scholarship Board,Social Protection,Social Cash Transfer,Public Service Pension Fund,Cash for Work Programme,Food Security Pack,Local Authorities Superannuation Fund,Total_Expenditure
2025,"73,815,232,616","37,334,576,117","16,664,307,558","5,674,875,908",,"317,246,458",,,,,"1,449,071,480",,,"772,926,700",,"10,321,443,219","8,406,134,559","217,800,000","48,713,513,734",,"15,404,760,005",,"9,270,982,106","2,366,000,000",,,,,,,,,,"11,984,360,459","271,171,220","5,625,071,493",,,,"511,370,136","1,289,935,340","700,721,345","851,699,959",,,"364,000,000","1,480,370,709",,"2,988,713,846","2,311,809,831",,,"23,167,325,387","4,951,092,793",,,"718,205,518","1,918,899,375",,,"558,704,668","31,493,302,845",,"2,252,489,105","2,581,243,469",,,,,"16,160,637,078","8,270,004,255","4,172,921,174","2,000,000,000","1,206,855,784","400,000,000","217,105,378,661"
2024,58929609925,32905550262,6011715419,6864198983,,,,,,,1449071480,,,703300000,,9922469354,6755876279,250000000,39755488379,,13826019474,,8561421253,1680000000,598376550,,,498822748,,,,,,8337221909,,3836252641,2880420612,,955832029,,769496627,700721345,386000000,391900075,,160000000,1450767798,150000000,2651214182,1948869116,443487003,,20906443693,4951092795,,,,1394734394,239836842,120000000,493427816,27354806191,,1863034004,1584812163,,942907506,70000000,1234472290,9671765277,4118237220,3872921174,,1260855784,400000000,"177,891,868,893"
2023,"66,172,293,432","30,053,000,000","18,234,338,486","6,823,755,000",,,,,,,"1,339,252,754",,,"500,000,000",,"8,147,475,655","5,188,570,932","200,000,000","35,013,401,599",,"11,209,692,002",,"9,119,154,149","686,200,000",1216141020,,,"274,397,833",,,,,,"5,156,017,706",,"3,545,520,001",,"743,578,629",,"250,000,000","366,293,198","355,000,000","150,000,000","397,410,644","150,000,000",,"1,059,981,064",,"2,584,283,569","2,269,481,977",,"135,851,359","17,394,799,887","4,584,345,181",,,"900,000,000","1,123,002,011",,,"444,422,530","23,188,742,594",,,"1,504,847,894",,"871,448,712",,,"8,127,762,301","3,720,898,131","2,398,000,031",,"1,206,855,784","300,000,000","167,321,733,563"
2022,86370423381,27364645716,51315495958,3105998428,,,,,,,1339252754,"120,000,000",,"300,000,000",,7634315965,3492630548,,33705802765,,,,5372670459,"960,000,000","110,000,000",,,,1036500000,,,,,4929279060,,3223200000,2420114780,"362,208,689",,,,,,,,,971923264,,2376330844,2352235641,,145323866,13911599575,3378620182,704275000,"883,249,509",,1615563414,,,156424195,18073367991,2188592645,,"694,331,744","199,787,477","792,226,102",,,6294259007,3106584278,2067042479,,1100000000,,"172,987,077,535"
2021,"57,819,227,707","18,338,481,000","27,745,178,541","2,762,080,579",,,,"202,073,000","598,112,678",,"1,164,567,612","200,000,000","125,000,000","100,000,000",,"5,642,820,724","3,078,694,172",,"21,499,987,741",,,,"5,701,404,933","517,500,000",,,,,"567,334,377",,,,,"6,214,145,268",,,,"307,199,557","155,237,025",,,,,,,,"955,530,142",,"2,221,524,168","2,172,274,286",,,"9,653,313,513","1,392,443,990",,"627,263,831",,"1,731,846,564",,,"151,357,265","13,772,752,981",,,"1,216,937,500","178,857,469",,,,"4,820,803,202","2,344,175,162","1,067,955,725",,"1,100,000,000",,"119,616,011,615"
2020,"44,080,742,270","12,634,848,146","21,090,794,856","2,278,733,732",,"135,000,000",,,,,"1,164,567,612","249,600,000","100,636,628","100,000,000","636,000,000","6,526,391,423","4,042,702,155","50,000,000","21,833,351,543",,,,"1,111,840,201","660,000,000",,,,,"1,823,481,818",,"11,167,970,334",,,"10,522,606,147",,,,"166,339,781",,,,,,,,,"611,777,853",,"3,460,376,555","2,620,137,161",,,"9,366,591,584","900,622,880",,"686,266,173",,"1,479,947,346",,,"383,045,401","13,121,648,466",,,"1,071,920,363","179,181,956",,,,"2,580,984,987","1,047,422,180","1,020,387,712",,"122,162,992",,"106,007,612,236"
2019,"31,277,061,748","8,626,278,083","14,947,077,126",,"900,000,000",,,,,,"1,164,567,612","176,476,995",,"200,000,000",,"6,072,431,839","2,865,505,045","24,999,000","20,651,090,605",,,,"1,428,000,000","672,000,000",,,,,"1,592,850,000",,"415,763,796",,,"6,501,672,380",,"249,600,000",,"182,461,999",,,,,,,,,"875,101,216",,"2,238,697,351","1,984,759,408",,,"8,069,128,277","900,082,236",,"725,884,552",,"620,188,226",,,"297,272,319","13,274,546,421",,,"258,806,582","163,993,697",,,,"2,187,059,905","699,494,400","1,060,550,212",,"110,880,000",,"86,807,894,727"
2018,"25,898,031,580","6,972,268,260","7,268,795,020",,,,,,,,"1,078,428,000","235,305,460",,,,"3,498,217,240","2,144,570,440","37,249,430","17,258,329,480",,,,"1,785,000,000","1,051,200,000",,,,,"940,500,000",,,,,"8,660,314,680",,"218,400,000",,"251,331,670",,,,,,,,,"951,352,080",,"816,262,640","564,508,860",,"239,000,000","6,781,558,820","1,200,227,400",,,"51,561,610","274,580,400",,,"451,160,740","11,561,643,204",,,1061925876,"176,698,000",,,,"2,301,259,752","721,180,000","1,060,550,000",,"140,000,000",,"71,662,385,976"
2017,"17,970,340,000","4,969,310,000","6,497,230,000","3,269,510,000",,,,,,,"887,850,000","100,000,000",,,,"3,204,450,000","2,342,970,000",,"20,132,600,000",,,,"2,856,400,000","942,500,000",,,,,,,,,,"8,644,500,000",,,,"114,520,000,000",,,,,"20,000","219,030,000",,,"616,470,000",,"822,810,000","391,700,000",,,"5,762,030,000","769,090,000",,,,"267,510,000",,,"323,500,000","10,641,930,000",,,"638,040,000","233,500,000",,,,"2,693,210,000","552,000,000","1,655,000,000",,,,"64,510,300,000"
2016,"19,171,696,837","3,549,266,546","3,615,559,302",,,,,,"727,900,000",,"717,013,167","82,691,590",,"100,000,000","536,237,121","3,145,795,491","1,840,555,811",,"13,247,239,002",,"5,000,000",,"1,000,355,810","750,000,000",,,,,,,,,,"6,629,938,774",,,,,,,,,,"373,255,937",,,"151,406,460",,"468,751,628","283,647,640",,,"4,431,850,156","754,000,000",,,,"387,070,833",,,"261,545,249","9,143,215,926",,,1027325937,,"310,913,011",,,"1,273,768,804","302,000,000","805,000,000",,"20,000,000",,"53,135,825,364"
