Year,"DOMESTIC REVENUE, GRANTS AND
FINANCING",DOMESTIC REVENUE & GRANTS,Domestic Revenue,Tax Revenue,Income Tax,Company Tax,Pay as You Earn (PAYE),Withholding Tax and Other,Value Added Tax (VAT),Customs and Excise Duties,Customs Duties,Excise Duties,Export Duties,Non-Tax Revenue,Mineral Royalty,Motor Vehicle Fees,Tourism Levy,Skills Development Levy,Insurance Premium Levy,Grants,Project Grants,Programme Grants,GROSS FINANCING,Domestic Financing,Foreign Financing,Programme Loans,Project Loans
2025 ,217105378661.00 ,182357589316.00 ,174188394916.00 ,137414105940.00 ,65810241138.00 ,22950472316.00 ,26984991728.00 ,15874777094.00 ,48341425549.00 ,22854125671.00 ,10557958194.00 ,12296167476.00 ,408313582.00 ,36774288976.00 ,17354619167.00 ,193098948.00 ,74361544.00 ,307895205.00 ,370149924.00 ,8169194400.00 ,4110259400.00 ,4058935000.00 ,34747789345.00 ,15359224678.00 ,19388564667.00 ,8057291035.00 ,11331273632.00 
2024 ,177891868893.00 ,144548825519.00 ,141113730377.00 ,114578995181.00 ,61322017941.00 ,25680487986.00 ,23714783839.00 ,11926746116.00 ,36361861216.00 ,16774266904.00 ,8481448663.00 ,8292818241.00 ,120849119.00 ,26534735196.00 ,10004179542.00 ,209511287.00 ,26615586.00 ,268248591.00 ,253259592.00 ,3435095142.00 ,,,33343043374.00 ,16328755585.00 ,17014287789.00 ,7671674398.00 ,9342613391.00 
2023 ,167321733563.00 ,113348735718.00 ,111643321261.00 ,93556303634.00 ,50427134700.00 ,21195997255.00 ,19319235335.00 ,9911902121.00 ,29209212374.00 ,13810455588.00 ,6879990144.00 ,6930465444.00 ,109500972.00 ,18087017627.00 ,8986242157.00 ,127299182.00 ,24644061.00 ,220830254.00 ,210719586.00 ,1705414457.00 ,,,53972997845.00 ,15575869900.00 ,38397127945.00 ,31488496390.00 ,6908631555.00 
2022 ,172987077535.00 ,123318098761.00 ,98859157828.00 ,77852269858.00 ,42275421724.00 ,16393900240.00 ,17258896671.00 ,8622624813.00 ,22903634804.00 ,12539583569.00 ,6355099165.00 ,6184484405.00 ,133629762.00 ,20663129824.00 ,12839010434.00 ,77669476.00 ,17670050.00 ,199787477.00 ,48631143.00 ,1821968124.00 ,,,74127919707.00 ,24458940933.00 ,49668978774.00 ,39347310774.00 ,8499699876.00 
2021 ,119616011615.00 ,83412994252.00 ,65982526252.00 ,53273038520.00 ,27064518652.00 ,9114550496.00 ,12867197154.00 ,5082771002.00 ,16937964272.00 ,9270555596.00 ,4284666880.00 ,4808334024.00 ,177554692.00 ,12709487732.00 ,5686104646.00 ,95416549.00 ,18902963.00 ,178857469.00 ,116901948.00 ,1986199168.00 ,,,53633485363.00 ,17430468000.00 ,36203017363.00 ,20608103500.00 ,13608714695.00 
2020 ,106007612236.00 ,75383889280.00 ,71927020280.00 ,53768675819.00 ,25612515638.00 ,7903927230.00 ,12331422697.00 ,5377165711.00 ,18942811154.00 ,9213349027.00 ,4210537662.00 ,4821813929.00 ,180997436.00 ,17709117523.00 ,4819615666.00 ,146818021.00 ,17021011.00 ,179181956.00 ,106205950.00 ,3456869000.00 ,,,34080591956.00 ,3456869000.00 ,30623722956.00 ,,
2019 ,86807894727.00 ,84883717677.00 ,56086808424.00 ,46956570349.00 ,23291352240.00 ,7221608108.00 ,11420999545.00 ,4648744587.00 ,14862475640.00 ,8410789934.00 ,3537747908.00 ,4723889127.00 ,149152899.00 ,9130238075.00 ,4887597864.00 ,105879759.00 ,13837397.00 ,163993697.00 ,108241682.00 ,1924177050.00 ,,,28796909253.00 ,4164207253.00 ,24632702000.00 ,7825000000.00 ,16807702000.00 
2018 ,71662390000.00 ,60240310000.00 ,49087020000.00 ,41139780000.00 ,20337610000.00 ,6115940000.00 ,10264020000.00 ,3957640000.00 ,12369470000.00 ,8098700000.00 ,3302250000.00 ,4744830000.00 ,51620000.00 ,7947240000.00 ,3527740000.00 ,,,,,,,,22575370000.00 ,11153290000.00 ,11422080000.00 ,,
2017 ,64510300000.00 ,46775990000.00 ,42939790000.00 ,37622460000.00 ,19647920000.00 ,4858310000.00 ,9815290000.00 ,3083380000.00 ,9463340000.00 ,7992620000.00 ,3224200000.00 ,4700000000.00 ,68410000.00 ,5317330000.00 ,1890940000.00 ,,,,,,,,21570510000.00 ,3836200000.00 ,17734310000.00 ,,
2016 ,53135800000.00 ,42655000000.00 ,42109100000.00 ,30410300000.00 ,14340300000.00 ,3239100000.00 ,7934400000.00 ,3166800000.00 ,9893500000.00 ,6132500000.00 ,2488900000.00 ,3643600000.00 ,,11698900000.00 ,2889100000.00 ,,,,,545900000.00 ,,,10480800000.00 ,2509500000.00 ,7971300000.00 ,3954300000.00 ,4010000000.00 
2015 ,46666560000.00 ,38735890000.00 ,35104350000.00 ,31282670000.00 ,11793250000.00 ,2399440000.00 ,7466900000.00 ,1926910000.00 ,6567730000.00 ,6974800000.00 ,3341380000.00 ,3633420000.00 ,,3822680000.00 ,5936880000.00 ,,,,,,,,7930670000.00 ,3771950000.00 ,4158720000.00 ,1482590000.00 ,2676130000.00 
2014 ,42682030000.00 ,32165160000.00 ,29538540000.00 ,26643000000.00 ,12966390000.00 ,4046960000.00 ,5132080000.00 ,1601650000.00 ,8099060000.00 ,5577390000.00 ,2330880000.00 ,3246520000.00 ,,2895700000.00 ,2185710000.00 ,,,,,,,,10516870000.00 ,3501750000.00 ,7015120000.00 ,5500000000.00 ,1515120000.00 
2013 ,32212160000.00 ,26271540000.00 ,24746000000.00 ,23536000000.00 ,12809440000.00 ,4788590000.00 ,5018660000.00 ,1080170000.00 ,6016420000.00 ,4710030000.00 ,2113850000.00 ,2596180000.00 ,,1210000000.00 ,1922030000.00 ,,,,,1525540000.00 ,,,5940740000.00 ,1863440000.00 ,4077300000.00 ,2840190000.00 ,1237110000.00 
2012 ,27698300000.00 ,21870400000.00 ,19976000000.00 ,19267700000.00 ,10271500000.00 ,3264400000.00 ,4216200000.00 ,909500000.00 ,4723600000.00 ,4272600000.00 ,2108600000.00 ,2164000000.00 ,,708300000.00 ,1881400000.00 ,,,,,1894400000.00 ,,,5827900000.00 ,1324300000.00 ,4503600000.00 ,2652000000.00 ,1851600000.00 
2011 ,20537400000.00 ,17356800000.00 ,15769100000.00 ,15230100000.00 ,7800800000.00 ,1337100000.00 ,3710600000.00 ,894700000.00 ,3998800000.00 ,3430500000.00 ,1674500000.00 ,1756000000.00 ,,539000000.00 ,1858400000.00 ,,,,,1587700000.00 ,,,3180600000.00 ,1219800000.00 ,1960800000.00 ,,
2010 ,16717800000.00 ,14533700000.00 ,12107100000.00 ,11385300000.00 ,5730100000.00 ,1363300000.00 ,3249900000.00 ,872600000.00 ,2939700000.00 ,2715500000.00 ,1300300000.00 ,1397300000.00 ,,721800000.00 ,244300000.00 ,,,,,2426600000.00 ,,,2184100000.00 ,1487000000.00 ,697100000.00 ,,
2009 ,15279000000.00 ,13414500000.00 ,10645900000.00 ,10191600000.00 ,4530000000.00 ,1104000000.00 ,2692500000.00 ,579000000.00 ,2549900000.00 ,3111600000.00 ,1452500000.00 ,1659100000.00 ,,454300000.00 ,154400000.00 ,,,,,2768600000.00 ,,,1864500000.00 ,1069000000.00 ,795500000.00 ,,
2008 ,13761400000.00 ,12107400000.00 ,9828500000.00 ,9133600000.00 ,4153400000.00 ,1352000000.00 ,2352300000.00 ,377100000.00 ,2641000000.00 ,2339200000.00 ,945200000.00 ,1394000000.00 ,,694900000.00 ,72000000.00 ,,,,,2278900000.00 ,,,1654000000.00 ,618700000.00 ,1035300000.00 ,,
2007 ,12042400000.00 ,10382000000.00 ,8124900000.00 ,7807400000.00 ,3440100000.00 ,935100000.00 ,2088300000.00 ,339300000.00 ,2431200000.00 ,1933800000.00 ,830000000.00 ,1103800000.00 ,,317500000.00 ,77300000.00 ,,,,,2257100000.00 ,,,1660300000.00 ,543400000.00 ,1116900000.00 ,,
