Year,Total Exports (ZMW),Imports (ZMW),Trade Balance (ZMW),Total Exports (US$),Imports (US$),Trade Balance (US$)
2007,"18,399,133,746","15,945,289,848","2,453,843,898","4,617,454,325","4,006,980,387","610,473,937"
2008,"18,653,009,287","18,476,489,240","176,520,047","5,098,688,004","5,060,482,666","38,205,339"
2009,"21,364,760,204","18,941,137,479","2,423,622,726","4,312,054,540","3,792,642,675","519,411,865"
2010,"34,500,051,458","25,507,487,313","8,992,564,145","7,200,951,149","5,321,002,628","1,879,948,521"
2011,"42,915,038,551","35,440,939,196","7,474,099,356","8,829,248,544","7,279,139,877","1,550,108,667"
2012,"48,206,165,818","45,275,938,876","2,930,226,942","9,639,652,576","8,806,150,488","833,502,088"
2013,"57,175,978,211","56,885,181,848","290,796,363","10,606,851,477","10,572,652,210","34,199,267"
2014,"59,568,778,549","61,093,521,575","-1,524,743,026","9,679,362,661","9,794,973,415","-115,610,754"
2015,"56,673,416,229","68,483,825,430","-11,810,409,201","6,606,563,697","7,935,463,705","-1,328,900,008"
2016,"65,752,436,639","75,139,563,744","-9,387,127,105","6,372,464,123","7,289,564,050","-917,099,927"
2017,"76,425,619,162","76,182,874,908","242,744,253","8,000,073,314","7,988,103,693","11,969,620"
2018,"94,310,127,088","99,299,250,217","-4,989,123,129","9,026,285,664","9,466,361,555","-440,075,890"
2019,"90,736,763,119","92,460,664,291","-1,723,901,172","7,046,955,186","7,180,726,641","-133,771,454"
2020,"145,420,961,350","97,005,813,825","48,415,147,525","7,824,806,861","5,323,610,046","2,501,196,815"
2021,"220,449,687,305","139,762,228,912","80,687,458,393","11,141,933,687","7,096,755,760","4,045,177,926"
2022,"197,112,733,399","152,384,905,478","44,727,827,921","11,645,947,068","9,030,321,123","2,615,625,945"
2023,"210,892,464,092","205,309,349,291","5,583,114,802","10,447,564,260","10,207,567,456","239,996,804"
2024,"293,919,025,953","293,692,518,571","226,507,382","11,198,373,892","11,194,216,648","4,157,244"
2025,"186,534,995,141","189,599,315,447","-3,064,320,307","6,961,736,727","7,091,258,417","-129,521,690"
