Year,Weighted Lending Base rate,Lending Margin,Average Lending Rate,Weighted Interbank Rate,Copper US /Tonne, Cobalt US$/Tonne ,Crude Oil US$/barrel,Maize (K'/50Kg),Dollar Exchange Rate,K/GBP  ,K/ZAR  ,Currency with non Bank,Kwacha Demand Deposits,Narrow Money,Time and Savings Deposits**,Forex Demand Deposits,Broad Money (M2)***,Other  Forex  Deposits,Broad Money (M3),"Inflation, consumer prices (annual %)",GDP growth (annual %),GDP (current US$),Population growth (annual %),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force)",Total Debt stock
2007,18.867884615384614,6.129423076923076,24.9975,11.049423076923079,7171.699233716475,62393.14103448276,69.18498084291187,34.37125191570881,4.001888434819923,7.932326546279694,0.562966048551724,1136719.98,2217327.69,3354496.33,2380214.9,2673341.58,8408052.82,439785.57,8847838.4,10.6573496000153,8.35243624447406,14056957976.2648,3.52770643018252,59.463,10.561,2744315630
2008,19.060769230769232,6.1,25.160384615384615,11.80923076923077,6938.519083969466,72136.848129771,94.39351145038168,44.54599160305344,3.7530659169198475,6.9343971344694655,0.4597015586717557,1393312.77,2986116.25,4379895.68,3096070.59,3218512.89,10694479.16,585525.07,11280004.23,12.4455793463192,7.77389581542363,17910858637.9048,3.56663855229215,59.417,7.93,2941280525
2009,22.075384615384618,6.346153846153846,28.421538461538464,10.20173076923077,5163.60551724138,27780.911609195402,61.411685823754794,56.92750287356322,5.045970321103448,7.802485722295019,0.617708639908046,1588867.39,3185787.91,4775532.14,3675967.34,4000558.09,12452057.56,855462.25,13307519.82,13.3952546325895,9.2203484058663,15328342303.9575,3.53891846603377,59.371,10.582,3645160246
2010,20.89547169811321,6.820754716981132,27.71547169811321,2.321698113207547,7543.25478927203,35352.35272030652,78.76766283524904,53.19320540229885,4.799415877394636,7.4947359345095785,0.6711889018620689,1844080.63,4368594.54,6213502,4437446.58,4373874.19,15024822.76,768249.92,15793072.69,8.50176133365265,10.2982233241213,20265559483.8548,3.46192274224024,59.329,13.19,4324975678
2011,18.821923076923078,7,25.821923076923078,5.140769230769231,8816.89423076923,31555.549,105.26542307692307,45.1746813076923,4.88454916923077,7.94172272681923,0.6700282657346154,2384980.55,5162088.12,7547912.5,5332804.48,5794045.6,18674762.58,1295281.23,19970043.81,6.4293968107234,5.56925219263019,23459515275.5776,3.32527568350911,59.283,10.545,5203883016
2012,12.113076923076923,7,19.113076923076925,7.696730769230769,7943.105363984674,25041.743180076628,107.85421455938697,44.74162077448276,5.1427402767164745,8.173094909647508,0.6048143939348659,2636923.83,6589052.59,9226913.25,6919300.5,5665560.73,21811774.49,1403383.61,23215158.1,6.57589970757698,7.59738104901994,25503060420.026,3.24260026203654,59.238,7.85,6194164105
2013,9.51923076923077,6.745576923076923,16.26480769230769,9.692499999999999,7334.064750957854,23444.52283524904,104.26444444444445,62.60305317624521,5.397241379310345,8.463639846743297,0.5583524904214558,3043762.69,8599494.12,11644597.15,9245267.02,5514796.04,26404660.22,1640153.35,28044813.57,6.97767605490307,5.05753695047252,28037239462.7142,3.20268845716982,59.174,7.6,6688860065
2014,11.5625,7.131346153846153,18.693846153846156,14.389807692307691,6827.625,26851.47580392157,96.32346153846153,74.37115384615385,6.19544061302682,10.183065134099618,0.5688505747126437,3609179.4,9384160.46,12993339.86,10800541.78,7686651.09,31480532.72,1974345.83,33454878.55,7.80687553566333,4.69328316376705,27141023558.0829,3.17220342906789,59.091,7.4,9675902727
2015,12.961538461538462,8.056153846153846,21.017692307692307,15.145384615384614,5501.83662835249,27080.34754789272,52.09034482758621,76.51980842911877,8.85616858237548,13.457088122605365,0.6752107279693487,4315600.51,9288670.62,13604271.12,11802749.92,12238083.85,37645104.89,3203281.17,40848386.07,10.1105928909618,2.92037511217961,21251216798.7762,3.12013727876838,58.995,8.3,12339413476
2016,15.5,12.495471698113207,28.06377358490566,20.793584905660378,4874.7,25544.346704980842,42.28666666666667,93.4244061302682,10.233793103448276,13.733486590038314,0.705287356321839,4530890.63,9477818.66,14008709.29,12100951.18,14540353.03,40650013.5,4326971.14,44976984.63,17.8697300795268,3.75510031678988,20958412538.3093,3.09409054089327,58.889,8.4,15791937971
