Year,Weighted Lending Base rate,Lending Margin,Average Lending Rate,Weighted Interbank Rate
2007,18.867884615384614,6.129423076923076,24.9975,11.049423076923079
2008,19.060769230769232,6.1,25.160384615384615,11.80923076923077
2009,22.075384615384618,6.346153846153846,28.421538461538464,10.20173076923077
2010,20.89547169811321,6.820754716981132,27.71547169811321,2.321698113207547
2011,18.821923076923078,7,25.821923076923078,5.140769230769231
2012,12.113076923076923,7,19.113076923076925,7.696730769230769
2013,9.51923076923077,6.745576923076923,16.26480769230769,9.692499999999999
2014,11.5625,7.131346153846153,18.693846153846156,14.389807692307691
2015,12.961538461538462,8.056153846153846,21.017692307692307,15.145384615384614
2016,15.5,12.495471698113207,28.06377358490566,20.793584905660378
2017,12.629807692307692,14.10423076923077,26.950576923076923,12.530384615384616
2018,9.817307692307692,14.105,23.922307692307694,9.832307692307692
2019,10.177884615384615,15.439038461538463,25.607307692307693,10.358653846153846
2020,9.584905660377359,17.057169811320755,26.726981132075473,10.15132075471698
2021,8.5,17.1825,25.6825,8.248653846153847
2022,9,16.215384615384615,25.215384615384615,8.875769230769231
2023,9.833333333333334,-2494.495278,25.850277777777777,9.635833333333332
2024,13.03921568627451,15.102549019607844,28.130980392156864,15.18156862745098
2025,14.45,14.421333333333333,28.871333333333332,14.344666666666665
