Date,Currency with non Bank,Kwacha Demand Deposits,Narrow Money,Time and Savings Deposits**,Forex Demand Deposits,Broad Money (M2)***,Other  Forex  Deposits,Broad Money (M3)
1/1/2007,1013003.15,2069552.72,3082757.87,2213649.56,2274504,7570911.43,353055.07,7923966.5
2/1/2007,969942.67,2071462.61,3041533.29,2095300.97,2282419.5,7419253.75,392803.19,7812056.94
3/1/2007,963221.93,1998074.45,2961612.38,2220563.91,2265018,7447194.29,304765.49,7751959.78
4/1/2007,1011359.77,2002785,3014359.77,2116794,2284013.5,7415167.27,426393,7841560.27
5/1/2007,1070259.1,2046024.56,3116647.66,2361326.32,2523120.5,8001094.48,345405,8346499.48
6/1/2007,1168100.1,2014225.26,3182803.35,2330293.52,2586368.5,8099465.38,433354,8532819.38
7/1/2007,1179181.46,2269410.14,3449104.6,2431778.68,2891736.5,8772619.78,331808,9104427.78
8/1/2007,1286753.53,2254837.39,3542074.92,2410892.64,3033705,8986672.56,518475,9505147.56
9/1/2007,1251497.35,2226198,3478506.35,2504371.05,2989716,8972593.4,546380,9518973.4
10/1/2007,1218689.58,2317329.95,3536602.52,2564642.45,2773738,8874982.97,518356.8,9393339.77
11/1/2007,1203625.89,2470496.66,3674809.55,2684385.95,2874908.5,9234104,542453.33,9776557.34
12/1/2007,1305005.18,2867535.55,4173143.73,2628579.8,3300851,10102574.53,564178.01,10666752.54
1/1/2008,1189750.54,2672774.46,3863017,2669818.93,3430661,9963496.93,702341,10665837.93
2/1/2008,1168229.97,2496841.17,3665475.15,2828816.4,3194371,9688662.55,594257,10282919.55
3/1/2008,1177557.42,2607323.78,3785285.21,2867673.07,3196157,9849115.28,409585,10258700.28
4/1/2008,1216743.23,2612777.27,3829854.5,2900902.46,2965532,9696288.96,502356,10198644.96
5/1/2008,1296988.79,3117694.38,4415129.17,2937783.19,2961503,10314415.36,471901,10786316.36
6/1/2008,1359406.34,3037269.31,4397197.65,2965225.36,3092040,10454463.01,355699,10810162.01
7/1/2008,1498075.91,2957477.78,4455991.68,3205151.16,3157843,10818985.84,519228,11338213.84
8/1/2008,1520131.29,2967845.51,4488579.8,3179102.37,3057335,10725017.17,635458,11360475.17
9/1/2008,1469773.7,3180632.02,4650900.73,3028723.7,2867121.24,10546745.67,618477,11165222.67
10/1/2008,1623074.78,3379735.33,5003423.11,3426869.05,3674606.69,12104898.85,636700,12741598.85
11/1/2008,1582962.68,3318668.16,4902089.84,3571812.1,3483341.16,11957243.1,802591,12759834.1
12/1/2008,1617058.54,3484355.8,5101804.34,3570969.27,3541643.54,12214417.16,777707.85,12992125
1/1/2009,1484845.5,3159006.12,4644716.63,3627918.85,3977643.97,12250279.44,778410.22,13028689.67
2/1/2009,1465678.43,3312232.01,4778359.45,3477298.66,4034843.92,12290502.03,906652.02,13197154.05
3/1/2009,1471391.3,3003153.49,4475073.78,3476706.56,4023445,11975225.34,1006782,12982007.34
4/1/2009,1532870.77,2877531.16,4410952.93,3560960.94,3905826.57,11877740.44,986793.54,12864533.98
5/1/2009,1572080.01,3061424.68,4633976.69,3408095.87,3611931.71,11654004.27,926466.27,12580470.54
6/1/2009,1586813.7,2989649.96,4577466.67,3430827.36,4107327.17,12115621.2,925070.27,13040691.47
7/1/2009,1752832.59,3182160.08,4935824.67,3595441.47,4059271.15,12590537.29,850260.23,13440797.51
8/1/2009,1712720,3309506.34,5023586.34,3792524.08,3842454.49,12658564.91,743581.76,13402146.66
9/1/2009,1653047.28,3356634.15,5010380.43,3817579,3988214,12816173.43,711675,13527848.43
10/1/2009,1673168.88,3191088.58,4864925.46,3916764.16,4244026,13025715.62,720146,13745861.62
11/1/2009,1568964.75,3358997.95,4929557.71,3997894.58,4067002.86,12994455.15,855727.86,13850183.01
12/1/2009,1591995.52,3428070.35,5021564.86,4009596.61,4144710.18,13175871.66,853981.86,14029853.52
1/1/2010,1508703.78,3494080.26,5003564.04,4020010.15,3316364.06,12339938.26,795825.86,13135764.12
2/1/2010,1515946.38,3677002.1,5194019.48,4182473.72,3563697.42,12940190.62,771224.95,13711415.57
3/1/2010,1570955.33,3780944.18,5352831.5,4162146.44,3728779.37,13243757.32,740691.95,13984449.27
