Year,Currency with non Bank,Kwacha Demand Deposits,Narrow Money,Time and Savings Deposits**,Forex Demand Deposits,Broad Money (M2)***,Other  Forex  Deposits,Broad Money (M3)
2007,1136719.98,2217327.69,3354496.33,2380214.9,2673341.58,8408052.82,439785.57,8847838.4
2008,1393312.77,2986116.25,4379895.68,3096070.59,3218512.89,10694479.16,585525.07,11280004.23
2009,1588867.39,3185787.91,4775532.14,3675967.34,4000558.09,12452057.56,855462.25,13307519.82
2010,1844080.63,4368594.54,6213502.0,4437446.58,4373874.19,15024822.76,768249.92,15793072.69
2011,2384980.55,5162088.12,7547912.5,5332804.48,5794045.6,18674762.58,1295281.23,19970043.81
2012,2636923.83,6589052.59,9226913.25,6919300.5,5665560.73,21811774.49,1403383.61,23215158.1
2013,3043762.69,8599494.12,11644597.15,9245267.02,5514796.04,26404660.22,1640153.35,28044813.57
2014,3609179.4,9384160.46,12993339.86,10800541.78,7686651.09,31480532.72,1974345.83,33454878.55
2015,4315600.51,9288670.62,13604271.12,11802749.92,12238083.85,37645104.89,3203281.17,40848386.07
2016,4530890.63,9477818.66,14008709.29,12100951.18,14540353.03,40650013.5,4326971.14,44976984.63
2017,4858826.98,11433542.32,16292369.3,14838356.7,13241098.82,44371824.82,4086512.19,48458337.01
2018,5824986.61,13463584.69,19288571.27,15752918.69,16512473.69,51553963.65,4816981.89,56370945.54
2019,6425319.39,14578722.41,21004041.81,17270967.48,20334775.31,58609784.59,6125019.55,64734804.14
2020,8326312.2,18743432.11,27069744.3,21166074.13,31141512.03,79377330.47,8240233.87,87617564.34
2021,11443983.11,26730383.62,38174366.73,24251284.95,39857866.12,102283517.81,8707710.82,110991228.62
2022,11774204.4,32675078.51,44449282.91,29983463.48,36065294.34,110498040.73,7547327.05,118045367.79
2023,13315344.08,39993075.15,53308419.23,35173519.45,44728118.53,133210057.21,13597999.16,146808056.38
2024,15698308.79,44157697.56,59856006.35,42191871.55,59170971.59,161218849.5,22557937.43,183776786.92
2025,16325097.6,50718970.33,67044067.93,46985520.68,67892984.7,181922573.33,24291803.36,206214376.67
